EXIT SL | time=N/A side=SHORT entry=206.3211 tp=202.3858 sl=208.5127 risk=2.1916 mfe=1.6511 mae=2.1989 energy=1.8378378378378337 stim=reward attr=engage socially eff=0.5925925925925926 node=21 mem=analysis res=1.5398100803506098 pnl=-2.1916
AI_DECISION | ml=SHORT ai=SHORT rr=2.2273812280574323 stim=reward attr=engage socially eff=0.5925925925925926 node=21 mem=analysis
EXIT SL | time=N/A side=LONG entry=209.4727 tp=214.2060 sl=207.2709 risk=2.2018 mfe=0.5173 mae=2.0927 energy=1.8229166666666758 stim=reward attr=engage socially eff=0.7647058823529411 node=48 mem=explore res=1.5001085069444688 pnl=-2.2018
AI_DECISION | ml=LONG ai=LONG rr=2.637480468281983 stim=reward attr=engage socially eff=0.7647058823529411 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=207.4749 tp=201.6845 sl=209.7532 risk=2.2783 mfe=0.3849 mae=2.3051 energy=1.9047619047619004 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis res=1.7233560090702826 pnl=-2.2783
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis
EXIT TP | time=N/A side=LONG entry=211.0252 tp=214.4046 sl=208.8538 risk=2.1715 mfe=4.1548 mae=0.0000 energy=1.78260869565219 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.3950850661626122 pnl=3.3794
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=216.7201 tp=211.2212 sl=218.8970 risk=2.1769 mfe=0.1401 mae=2.5799 energy=1.733333333333325 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=1.2711111111110904 pnl=-2.1769
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT TP | time=N/A side=SHORT entry=219.1393 tp=213.5350 sl=221.3567 risk=2.2173 mfe=6.2293 mae=0.0000 energy=1.7462686567164318 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=1.3031855647137793 pnl=5.6043
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT SL | time=N/A side=SHORT entry=213.9225 tp=208.6507 sl=216.0137 risk=2.0912 mfe=2.2525 mae=2.1675 energy=1.6842105263159233 stim=reward attr=engage socially eff=0.7222222222222222 node=2128 mem=analysis res=1.152354570637436 pnl=-2.0912
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=2128 mem=analysis
EXIT SL | time=N/A side=SHORT entry=215.4392 tp=209.3541 sl=217.8317 risk=2.3925 mfe=1.9692 mae=2.4108 energy=1.9272727272727395 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis res=1.7871074380165637 pnl=-2.3925
