MCM_STATE | mode=market impulse=-0.4216 motivation=-0.0575 risk=-0.0893 replay=0.0000 self_state=active attractor=analysis mean_energy=-0.6648 mean_motivation=0.0407 mean_risk=-0.0768 mean_velocity=0.1833 clusters=1 memory_center=-0.6017 memory_strength=12
MCM_STATE | mode=market impulse=0.6717 motivation=0.1312 risk=-0.0413 replay=0.0203 self_state=active attractor=cooperate mean_energy=0.4428 mean_motivation=0.2181 mean_risk=-0.1097 mean_velocity=0.2346 clusters=1 memory_center=0.3900 memory_strength=31
MCM_STATE | mode=market impulse=-0.8001 motivation=-0.1381 risk=-0.2252 replay=0.0047 self_state=active attractor=cooperate mean_energy=-0.8318 mean_motivation=0.1225 mean_risk=-0.3287 mean_velocity=0.2772 clusters=1 memory_center=0.3900 memory_strength=26
MCM_STATE | mode=market impulse=1.1720 motivation=0.2523 risk=-0.1509 replay=0.0142 self_state=active attractor=cooperate mean_energy=1.0690 mean_motivation=0.3626 mean_risk=-0.5560 mean_velocity=0.3467 clusters=1 memory_center=0.3900 memory_strength=22
MCM_STATE | mode=market impulse=1.3418 motivation=0.2884 risk=-0.1605 replay=0.0257 self_state=active attractor=cooperate mean_energy=1.9500 mean_motivation=0.5970 mean_risk=-0.7319 mean_velocity=0.2078 clusters=1 memory_center=0.3900 memory_strength=19
MCM_STATE | mode=outcome impulse=-0.9394 motivation=-0.2261 risk=-0.2235 replay=-0.0247 self_state=active attractor=cooperate mean_energy=0.3162 mean_motivation=0.3001 mean_risk=-0.9103 mean_velocity=0.2457 clusters=1 memory_center=0.3465 memory_strength=28
MCM_STATE | mode=market impulse=-0.8422 motivation=-0.0506 risk=-0.2326 replay=-0.0085 self_state=active attractor=cooperate mean_energy=-1.0409 mean_motivation=0.1637 mean_risk=-1.0742 mean_velocity=0.2838 clusters=1 memory_center=0.3465 memory_strength=24
MCM_STATE | mode=market impulse=-0.8316 motivation=-0.0687 risk=-0.2288 replay=0.0203 self_state=active attractor=cooperate mean_energy=-2.0186 mean_motivation=0.0434 mean_risk=-1.1941 mean_velocity=0.1998 clusters=1 memory_center=0.3465 memory_strength=20
MCM_STATE | mode=market impulse=-0.3249 motivation=0.0064 risk=-0.2517 replay=0.0257 self_state=active attractor=defense mean_energy=-2.0325 mean_motivation=0.0226 mean_risk=-1.3311 mean_velocity=0.1785 clusters=1 memory_center=-2.1550 memory_strength=25
MCM_STATE | mode=market impulse=0.7764 motivation=0.0443 risk=-0.0592 replay=-0.0029 self_state=active attractor=analysis mean_energy=-0.5872 mean_motivation=0.0663 mean_risk=-1.2508 mean_velocity=0.2549 clusters=1 memory_center=-0.7283 memory_strength=26
MCM_STATE | mode=market impulse=-0.5656 motivation=-0.1014 risk=-0.1501 replay=0.0016 self_state=active attractor=analysis mean_energy=-1.2855 mean_motivation=-0.0302 mean_risk=-1.2437 mean_velocity=0.3085 clusters=1 memory_center=-0.7283 memory_strength=22
MCM_STATE | mode=market impulse=1.2062 motivation=0.2299 risk=-0.1347 replay=-0.0151 self_state=active attractor=analysis mean_energy=0.7561 mean_motivation=0.1365 mean_risk=-1.3193 mean_velocity=0.3122 clusters=1 memory_center=-0.7283 memory_strength=19
MCM_STATE | mode=outcome impulse=0.8270 motivation=0.2850 risk=-0.2085 replay=0.0114 self_state=active attractor=analysis mean_energy=1.7930 mean_motivation=0.4082 mean_risk=-1.3846 mean_velocity=0.2069 clusters=1 memory_center=-0.7283 memory_strength=16
MCM_STATE | mode=market impulse=0.1880 motivation=0.0013 risk=-0.0644 replay=-0.0029 self_state=active attractor=explore mean_energy=1.6980 mean_motivation=0.3255 mean_risk=-1.3164 mean_velocity=0.1751 clusters=1 memory_center=2.0467 memory_strength=26
MCM_STATE | mode=market impulse=-0.6644 motivation=-0.0964 risk=-0.1967 replay=-0.0168 self_state=active attractor=explore mean_energy=0.5101 mean_motivation=0.1492 mean_risk=-1.3843 mean_velocity=0.2455 clusters=1 memory_center=2.0467 memory_strength=22
MCM_STATE | mode=market impulse=1.1970 motivation=0.2270 risk=-0.1224 replay=0.0246 self_state=active attractor=explore mean_energy=1.9112 mean_motivation=0.3017 mean_risk=-1.3520 mean_velocity=0.1919 clusters=1 memory_center=2.1091 memory_strength=31
MCM_STATE | mode=outcome impulse=-0.9341 motivation=-0.2261 risk=-0.2235 replay=0.0048 self_state=active attractor=explore mean_energy=0.2635 mean_motivation=0.0364 mean_risk=-1.3976 mean_velocity=0.2338 clusters=1 memory_center=2.1091 memory_strength=26
MCM_STATE | mode=market impulse=-0.8581 motivation=-0.0516 risk=-0.2613 replay=0.0016 self_state=active attractor=explore mean_energy=-1.1114 mean_motivation=-0.0623 mean_risk=-1.4721 mean_velocity=0.2603 clusters=1 memory_center=2.1091 memory_strength=22
MCM_STATE | mode=market impulse=-0.9491 motivation=-0.0649 risk=-0.3150 replay=0.0253 self_state=stressed attractor=explore mean_energy=-1.8031 mean_motivation=-0.1440 mean_risk=-1.5763 mean_velocity=0.2000 clusters=1 memory_center=2.1091 memory_strength=19
MCM_STATE | mode=market impulse=-0.5927 motivation=-0.0353 risk=-0.1514 replay=-0.0168 self_state=stressed attractor=defense mean_energy=-1.8040 mean_motivation=-0.1328 mean_risk=-1.5382 mean_velocity=0.1538 clusters=1 memory_center=-2.1887 memory_strength=26
MCM_STATE | mode=market impulse=1.7110 motivation=0.1289 risk=-0.2324 replay=0.0016 self_state=stressed attractor=defense mean_energy=0.9465 mean_motivation=0.0029 mean_risk=-1.5635 mean_velocity=0.2392 clusters=1 memory_center=-2.1887 memory_strength=22
MCM_STATE | mode=market impulse=0.7229 motivation=0.1125 risk=-0.0735 replay=-0.0168 self_state=active attractor=explore mean_energy=1.7847 mean_motivation=0.1274 mean_risk=-1.4433 mean_velocity=0.1737 clusters=1 memory_center=2.0732 memory_strength=24
